True,192.168.1.2,turtlebot0,device
True,192.168.1.3,turtlebot1,device
True,192.168.1.4,turtlebot2,device
True,192.168.1.5,turtlebot4,device
True,192.168.1.6,turtlebot5,device
True,192.168.1.7,turtlebot6,device
True,192.168.1.8,kevin,device
True,192.168.1.9,turtlebot7,device
True,192.168.1.51,et,device
True,192.168.1.52,goose,device
True,192.168.1.53,falcon,device
True,192.168.1.54,i5,device
True,192.168.1.55,bluebeetle,device
True,192.168.1.56,firefly,device
True,192.168.1.57,smaug,device
True,192.168.1.58,ostrich,device
True,192.168.1.59,baldeagle,device
True,192.168.1.60,moa-nalo,device
True,92.168.1.61,cassowary,device
True,192.168.1.62,dodo,device
True,192.168.1.63,penguin,device
True,192.168.1.64,titicaca,device
True,192.168.1.65,auk,device
True,192.168.1.66,takahe,device
True,192.168.1.67,kiwi,device
True,192.168.1.68,emu,device
